"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","ELDERBERRIES","ELDERBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","1","(L)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","GRAPES","GRAPES - ACRES BEARING","TOTAL","NOT SPECIFIED","27","29.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","MULBERRIES","MULBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","NECTARINES","NECTARINES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PAWPAWS","PAWPAWS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED","28","61.1"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PEACHES","PEACHES, CLINGSTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PEARS","PEARS - ACRES BEARING","TOTAL","NOT SPECIFIED","8","42.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING","TOTAL","NOT SPECIFIED","7","46.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PEARS","PEARS, BARTLETT - ACRES BEARING","TOTAL","NOT SPECIFIED","1","51.9"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","PLUMS","PLUMS - ACRES BEARING","TOTAL","NOT SPECIFIED","3","53.3"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","RASPBERRIES","RASPBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","TREE NUT TOTALS","TREE NUT TOTALS - ACRES BEARING","TOTAL","NOT SPECIFIED","2","16.9"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","1","(H)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","GRAPES","GRAPES - ACRES BEARING","TOTAL","NOT SPECIFIED","2","29.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","RASPBERRIES","RASPBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","1","49.7"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","5","41.9"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","ARONIA BERRIES","ARONIA BERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","1","52.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","BLUEBERRIES","BLUEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","2","(L)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","BLUEBERRIES","BLUEBERRIES, WILD - ACRES BEARING","TOTAL","NOT SPECIFIED","2","(L)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","CHERRIES","CHERRIES, TART - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","PAWPAWS","PAWPAWS - ACRES BEARING","TOTAL","NOT SPECIFIED","1","23.3"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","PEARS","PEARS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","PEARS","PEARS, BARTLETT - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","RASPBERRIES","RASPBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","2","49.7"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","TREE NUT TOTALS","TREE NUT TOTALS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","BLUEBERRIES","BLUEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","27","38.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME - ACRES BEARING","TOTAL","NOT SPECIFIED","27","38.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","CHERRIES","CHERRIES, TART - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","ELDERBERRIES","ELDERBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","GRAPES","GRAPES - ACRES BEARING","TOTAL","NOT SPECIFIED","10","(L)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","PEARS","PEARS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","RASPBERRIES","RASPBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","5","49.7"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","TREE NUT TOTALS","TREE NUT TOTALS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED","106","32.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","ARONIA BERRIES","ARONIA BERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","BLUEBERRIES","BLUEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","4","38.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME - ACRES BEARING","TOTAL","NOT SPECIFIED","4","38.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","CHERRIES","CHERRIES, SWEET - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","CHERRIES","CHERRIES, TART - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","GOOSEBERRIES","GOOSEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","GRAPES","GRAPES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED","113","61.1"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","PEACHES","PEACHES, CLINGSTONE - ACRES BEARING","TOTAL","NOT SPECIFIED","1","16.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED","113","66.9"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","PEARS","PEARS - ACRES BEARING","TOTAL","NOT SPECIFIED","5","42.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING","TOTAL","NOT SPECIFIED","5","46.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","PERSIMMONS","PERSIMMONS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","PLUMS","PLUMS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","RASPBERRIES","RASPBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","TREE NUT TOTALS","TREE NUT TOTALS - ACRES BEARING","TOTAL","NOT SPECIFIED","48","16.9"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MADISON","097","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED","7","32.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MADISON","097","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MARION","101","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MARION","101","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED","34","32.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","APRICOTS","APRICOTS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","BLUEBERRIES","BLUEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","3","38.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME - ACRES BEARING","TOTAL","NOT SPECIFIED","3","38.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","ELDERBERRIES","ELDERBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","GOOSEBERRIES","GOOSEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","LOGANBERRIES","LOGANBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","MULBERRIES","MULBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","PEACHES","PEACHES, CLINGSTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","PEARS","PEARS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","RASPBERRIES","RASPBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","TREE NUT TOTALS","TREE NUT TOTALS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","CHERRIES","CHERRIES, SWEET - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","PRUNES","PRUNES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","STRAWBERRIES","STRAWBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","APPLES","APPLES - ACRES BEARING","TOTAL","NOT SPECIFIED","72","32.6"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","BLACKBERRIES","BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED","4","(H)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","BLUEBERRIES","BLUEBERRIES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","BLUEBERRIES","BLUEBERRIES, TAME - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","GRAPES","GRAPES - ACRES BEARING","TOTAL","NOT SPECIFIED","22","29.5"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","NECTARINES","NECTARINES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","PEACHES","PEACHES - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","PEACHES","PEACHES, FREESTONE - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","PEARS","PEARS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","PEARS","PEARS, (EXCL BARTLETT) - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","PEARS","PEARS, BARTLETT - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","PLUMS","PLUMS - ACRES BEARING","TOTAL","NOT SPECIFIED","2","53.3"
